iter	Accuracy	MultiClass
82	0.8186807033	0.5030237371
83	0.8191286818	0.5018848173
84	0.8189046926	0.5008325416
85	0.818792698	0.4996545861
86	0.8192406764	0.4984151861
87	0.8195766603	0.4971812772
88	0.8198006496	0.4961024647
89	0.8196886549	0.4949125652
90	0.8198006496	0.493646
91	0.8201366334	0.4925048885
92	0.8196886549	0.4914536751
93	0.8192406764	0.4902945983
94	0.8198006496	0.4892377158
95	0.8198006496	0.4882105456
96	0.8193526711	0.4872951268
97	0.8192406764	0.4862652188
98	0.8193526711	0.4852841096
99	0.8199126442	0.4842954879
100	0.8201366334	0.4832217118
101	0.8198006496	0.482138156
102	0.8199126442	0.4812302416
103	0.8200246388	0.4801994508
104	0.8200246388	0.4793030886
105	0.8201366334	0.4783590952
106	0.8200246388	0.4774244084
107	0.8201366334	0.4765346906
108	0.8199126442	0.4756122473
109	0.8198006496	0.4746275811
110	0.8201366334	0.4736925326
111	0.8200246388	0.4728927231
112	0.8200246388	0.4718901244
113	0.8201366334	0.4710215846
114	0.8203606227	0.4701309974
115	0.8201366334	0.4692765398
116	0.8200246388	0.4684973595
117	0.8201366334	0.4677236587
118	0.8201366334	0.4668429484
119	0.8195766603	0.4661071641
120	0.8196886549	0.4653770234
121	0.8198006496	0.4646312204
122	0.8199126442	0.4638092732
123	0.8202486281	0.4631011634
124	0.8200246388	0.4624140061
125	0.8201366334	0.4616473354
126	0.8203606227	0.4608379113
127	0.8202486281	0.4601953074
128	0.8199126442	0.4595083594
129	0.8203606227	0.4587683576
130	0.8198006496	0.4581024021
131	0.8200246388	0.4574368685
132	0.8199126442	0.4568064628
133	0.8200246388	0.4561065575
134	0.8201366334	0.4553797293
135	0.8199126442	0.4547042278
136	0.8194646657	0.4540307676
137	0.8195766603	0.4533803088
138	0.8198006496	0.4526711228
139	0.8201366334	0.4520595877
140	0.8195766603	0.4513900051
141	0.8201366334	0.4508728524
142	0.8194646657	0.4502137204
143	0.8199126442	0.4496840311
144	0.8202486281	0.449059383
145	0.8205846119	0.4482103055
146	0.8209205958	0.4476429346
147	0.8206966066	0.447104565
148	0.8206966066	0.4465061617
149	0.8206966066	0.4459085789
150	0.8210325904	0.445206322
151	0.8206966066	0.4445812771
152	0.8210325904	0.4440944123
153	0.8210325904	0.4435192849
154	0.8205846119	0.4429958277
155	0.8206966066	0.4424357834
156	0.8209205958	0.4417707239
157	0.8206966066	0.4412326482
158	0.8211445851	0.4405981692
159	0.8212565797	0.4400273738
160	0.8213685743	0.439431165
161	0.8212565797	0.4388834651
162	0.8214805689	0.4384047039
163	0.8218165528	0.4378781402
164	0.8220405421	0.4373903132
165	0.8219285474	0.4368668317
166	0.8220405421	0.4363685099
167	0.8219285474	0.4359303197
168	0.8220405421	0.4354824532
169	0.8226005152	0.4350339346
170	0.8224885206	0.4345500367
171	0.8221525367	0.4340193603
172	0.8222645313	0.4334629308
173	0.8221525367	0.4330586386
174	0.8220405421	0.4326339225
175	0.8223765259	0.4321862381
176	0.8224885206	0.4317385616
177	0.8224885206	0.4312997532
178	0.8223765259	0.4308561252
179	0.8226005152	0.4304520067
180	0.8227125098	0.4300377846
181	0.8227125098	0.4295874319
182	0.8230484937	0.4291491065
183	0.822936499	0.4287246122
184	0.822936499	0.4282222544
185	0.8231604883	0.4277453314
186	0.8228245044	0.427428421
187	0.8228245044	0.4271332009
188	0.823832456	0.4267412853
189	0.8234964722	0.4263193138
190	0.823832456	0.4258992049
191	0.8240564453	0.4255557024
192	0.8237204614	0.4251535605
193	0.823832456	0.4249118022
194	0.823832456	0.4244837218
195	0.8239444507	0.4241681744
196	0.8236084668	0.4236842324
197	0.8240564453	0.4232352088
198	0.8243924292	0.422821016
199	0.8245044238	0.4224587887
200	0.8246164184	0.4221411898
201	0.8251763915	0.4217685401
202	0.8250643969	0.4213447063
203	0.8254003808	0.4209609886
204	0.8254003808	0.4206641358
205	0.8254003808	0.4204002368
206	0.8257363647	0.4200988991
207	0.8255123754	0.4197988329
208	0.8254003808	0.4194302361
209	0.8255123754	0.419088143
210	0.82562437	0.4187512791
211	0.8257363647	0.4184255591
212	0.8255123754	0.4180817706
213	0.8257363647	0.4177556951
214	0.8260723485	0.4174393191
215	0.8259603539	0.4171504565
216	0.8258483593	0.4169301492
217	0.8258483593	0.4165741266
218	0.8260723485	0.4162939517
219	0.8257363647	0.4160492868
220	0.8258483593	0.4157580921
221	0.8260723485	0.4153790743
222	0.8260723485	0.4149705472
223	0.8262963378	0.4146296182
224	0.8266323216	0.4143423826
225	0.8268563109	0.4139782706
226	0.8266323216	0.413661901
227	0.8270803001	0.4132252324
228	0.8271922948	0.4129129422
229	0.827416284	0.412647413
230	0.8273042894	0.4124050401
231	0.8271922948	0.4121320557
232	0.827416284	0.4118959813
233	0.8276402733	0.4116153796
234	0.8279762571	0.4113339471
235	0.8277522679	0.4110952252
236	0.8275282786	0.4108293149
237	0.8276402733	0.4105500818
238	0.8280882518	0.410295481
239	0.828312241	0.4100931293
240	0.8278642625	0.4097232175
241	0.8279762571	0.4094250057
242	0.828312241	0.4090889375
243	0.8279762571	0.408835179
244	0.8282002464	0.408601468
245	0.8282002464	0.4082968715
246	0.828312241	0.4081536621
247	0.8286482249	0.4078594394
248	0.8280882518	0.4075870965
249	0.8285362303	0.4073812721
250	0.828312241	0.4071388166
251	0.8286482249	0.4068698546
252	0.8284242356	0.4065977525
253	0.828312241	0.4063510392
254	0.8287602195	0.4061040185
255	0.8288722141	0.4058692187
256	0.8285362303	0.4056370871
257	0.828312241	0.4054341877
258	0.8285362303	0.4051716367
259	0.8285362303	0.4049290955
260	0.8288722141	0.40463738
261	0.8287602195	0.4045094847
262	0.8290962034	0.4042509829
263	0.829208198	0.4039821101
264	0.829208198	0.4037646626
265	0.8293201926	0.4035740431
266	0.8294321873	0.4033386126
267	0.8293201926	0.4031238544
268	0.8296561765	0.4029396318
269	0.8296561765	0.4027114274
270	0.8295441819	0.4024913512
271	0.8296561765	0.4022153252
272	0.8299921604	0.4019564726
273	0.8298801658	0.4017922488
274	0.8294321873	0.4015850966
275	0.8296561765	0.4013778693
276	0.8293201926	0.4011700351
277	0.8293201926	0.4009110807
278	0.8295441819	0.4006869034
279	0.8298801658	0.400512393
280	0.8298801658	0.4003615868
281	0.8297681711	0.4001624872
282	0.8302161496	0.399894998
283	0.8304401389	0.3995973689
284	0.8304401389	0.3993840314
285	0.8302161496	0.3991288234
286	0.8304401389	0.3988975308
287	0.8302161496	0.3987811077
288	0.8304401389	0.3986108907
289	0.8306641281	0.3984361344
290	0.8305521335	0.3982501337
291	0.8306641281	0.3981002248
292	0.8304401389	0.3979177171
293	0.8307761227	0.3977460934
294	0.8304401389	0.3975258588
295	0.8307761227	0.3973821923
296	0.8307761227	0.3972101813
297	0.8306641281	0.3970138841
298	0.8305521335	0.3968886804
299	0.8305521335	0.3966898475
300	0.8305521335	0.3965198844
301	0.8305521335	0.3963017887
302	0.8308881174	0.3961729396
303	0.8307761227	0.3960061544
304	0.831000112	0.3957860513
305	0.8311121066	0.3955665094
306	0.8312241012	0.3954340557
307	0.8312241012	0.3952639717
308	0.8311121066	0.3950799494
309	0.8311121066	0.3949300234
310	0.8312241012	0.3947919974
311	0.8312241012	0.3946219777
312	0.8311121066	0.3944315668
313	0.8312241012	0.3942421996
314	0.8311121066	0.3939227227
315	0.8313360959	0.393794407
316	0.8311121066	0.3936453531
317	0.8312241012	0.3935042908
318	0.8311121066	0.3933103619
319	0.8314480905	0.3931406499
320	0.8313360959	0.3930131246
321	0.8316720797	0.3928589625
322	0.8317840744	0.3926860695
323	0.8317840744	0.3924944965
324	0.8317840744	0.3923366393
325	0.8321200582	0.3921779409
326	0.831896069	0.3920106635
327	0.8321200582	0.391819633
328	0.8321200582	0.3916418196
329	0.8322320529	0.3914433538
330	0.831896069	0.3912669118
331	0.8325680367	0.3909503312
332	0.8323440475	0.390792031
333	0.8325680367	0.3906537967
334	0.8324560421	0.3904984725
335	0.8324560421	0.3903429134
336	0.8330160152	0.3901485505
337	0.8330160152	0.3900121725
338	0.8331280099	0.3898204359
339	0.8332400045	0.3896704675
340	0.8330160152	0.389538403
341	0.8332400045	0.3893523597
342	0.8333519991	0.3892530207
343	0.8332400045	0.3890873453
344	0.8334639937	0.388956847
345	0.8334639937	0.3887650041
346	0.833687983	0.3885636744
347	0.8339119722	0.3883354518
348	0.8339119722	0.3881499625
349	0.833687983	0.3880096524
350	0.833687983	0.3879003034
351	0.8337999776	0.3877646283
352	0.833687983	0.3876524915
353	0.833687983	0.3874929132
354	0.8339119722	0.3874009837
355	0.8340239668	0.3872790397
356	0.8340239668	0.3871750345
357	0.8342479561	0.3869717418
358	0.8342479561	0.3868522112
359	0.8344719453	0.3867267864
360	0.8342479561	0.3866042324
361	0.83458394	0.3864456805
362	0.8348079292	0.3862729829
363	0.8348079292	0.3861842136
364	0.8349199238	0.3860776094
365	0.8349199238	0.3859725078
366	0.8350319185	0.3858321496
367	0.8346959346	0.3857095811
368	0.8349199238	0.3855511292
369	0.8350319185	0.385437862
370	0.8350319185	0.3853294879
371	0.8352559077	0.3852056577
372	0.8349199238	0.3850740762
373	0.835479897	0.3849643099
374	0.835479897	0.3848534495
375	0.8355918916	0.384747802
376	0.8352559077	0.3846294462
377	0.8357038862	0.3843654157
378	0.8355918916	0.3842573393
379	0.8358158808	0.3840832739
380	0.8361518647	0.3838478514
381	0.8362638593	0.3837185327
382	0.836375854	0.3836403411
383	0.8362638593	0.3835015602
384	0.8361518647	0.3833903625
385	0.836375854	0.3832134009
386	0.836375854	0.3831287886
387	0.8365998432	0.3829459793
388	0.8362638593	0.3828397272
389	0.8367118378	0.3826370142
390	0.8364878486	0.3824969326
391	0.8365998432	0.3823453811
392	0.8367118378	0.3822290484
393	0.8365998432	0.3820674956
394	0.8367118378	0.3819283272
395	0.8370478217	0.3817512089
396	0.8369358271	0.3816323477
397	0.8368238325	0.3815212538
398	0.8370478217	0.38117086
399	0.8371598163	0.3810736759
400	0.8376077948	0.3807143715
401	0.8376077948	0.3806043736
402	0.8376077948	0.3805398496
403	0.8374958002	0.3804108765
404	0.8376077948	0.3802910225
405	0.8374958002	0.3801608143
406	0.8376077948	0.3800764384
407	0.8374958002	0.3799733327
408	0.8374958002	0.3798733944
409	0.8374958002	0.379734346
410	0.8374958002	0.3796499788
411	0.8374958002	0.3795804556
412	0.8378317841	0.3794797927
413	0.8378317841	0.3794027805
414	0.8376077948	0.3793225665
415	0.8376077948	0.3792818194
416	0.8378317841	0.3791765397
417	0.8379437787	0.3790786358
418	0.8381677679	0.3789754366
419	0.8379437787	0.3787642636
420	0.8380557733	0.3786401091
421	0.8381677679	0.3785478237
422	0.8382797626	0.3783294831
423	0.8381677679	0.3782320428
424	0.8380557733	0.3781402875
425	0.8379437787	0.3779872236
426	0.8379437787	0.377860597
427	0.8382797626	0.3776826423
428	0.8380557733	0.377582406
429	0.8380557733	0.3774635605
430	0.8381677679	0.3773728508
431	0.8382797626	0.377267716
432	0.8382797626	0.3770810962
433	0.8385037518	0.3769330055
434	0.8385037518	0.3768362364
435	0.8383917572	0.3766184408
436	0.8385037518	0.3765307272
437	0.8385037518	0.3764508006
438	0.8386157464	0.3763541569
439	0.8385037518	0.3762672503
440	0.8386157464	0.3761966429
441	0.8387277411	0.3760849223
442	0.8387277411	0.3760144047
443	0.8389517303	0.375884066
444	0.8389517303	0.3757841012
445	0.8388397357	0.3756464581
446	0.8390637249	0.3754408304
447	0.8390637249	0.3753614881
448	0.8391757196	0.3752628196
449	0.8393997088	0.3751359679
450	0.8391757196	0.3750668562
451	0.8392877142	0.3749237975
452	0.8392877142	0.3748267658
453	0.8396236981	0.3747143587
454	0.8395117034	0.37462681
455	0.8393997088	0.3744897896
456	0.8396236981	0.3744287056
457	0.8397356927	0.3743739194
458	0.8396236981	0.374292955
459	0.8396236981	0.3742285126
460	0.8397356927	0.3741483768
461	0.8396236981	0.3739951362
462	0.8396236981	0.3739280103
463	0.8395117034	0.3738347076
464	0.8397356927	0.3737014845
465	0.8398476873	0.3736261799
466	0.8399596819	0.3735275279
467	0.8399596819	0.3734337588
468	0.8396236981	0.3733380165
469	0.8396236981	0.3732511466
470	0.8396236981	0.373155993
471	0.8396236981	0.373061954
472	0.8398476873	0.3729039673
473	0.8397356927	0.3728103388
474	0.8399596819	0.3727216363
475	0.8400716766	0.372626396
476	0.8402956658	0.3725324629
477	0.8402956658	0.3723533842
478	0.8401836712	0.3722809862
479	0.8402956658	0.372208912
480	0.8404076604	0.3721150929
481	0.8402956658	0.3720052302
482	0.8404076604	0.371959884
483	0.8404076604	0.3718820967
484	0.8405196551	0.3718036885
485	0.8406316497	0.3716968028
486	0.8406316497	0.3715494447
487	0.8406316497	0.3714909728
488	0.8406316497	0.3714297791
489	0.8406316497	0.3713504263
490	0.8407436443	0.3712345783
491	0.8408556389	0.3710669541
492	0.8407436443	0.3709174031
493	0.8410796282	0.3708487764
494	0.8409676336	0.3707314458
495	0.8409676336	0.3706548484
496	0.8409676336	0.3705375852
497	0.8411916228	0.3704400047
498	0.8410796282	0.3702541476
499	0.8411916228	0.3700375747
500	0.8413036174	0.3699511275
501	0.8415276067	0.3697866485
502	0.8415276067	0.3697258922
503	0.8415276067	0.3696215534
504	0.8415276067	0.3695491035
505	0.8416396013	0.3694743244
506	0.8415276067	0.3693525218
507	0.8415276067	0.3692447792
508	0.8414156121	0.3691576261
509	0.8417515959	0.3690691955
510	0.8419755852	0.3689819878
511	0.8419755852	0.3689308381
512	0.842311569	0.3687686476
513	0.8424235637	0.3686679804
514	0.8424235637	0.3685669765
515	0.842311569	0.3684707254
516	0.842311569	0.3683605212
517	0.8424235637	0.3682567355
518	0.8426475529	0.3681789132
519	0.8427595475	0.3681134177
520	0.8427595475	0.3680385956
521	0.8428715422	0.3679787892
522	0.8428715422	0.3679148173
523	0.8427595475	0.3678611945
524	0.8430955314	0.3677382611
525	0.8430955314	0.3676532496
526	0.8433195207	0.3675265626
527	0.843207526	0.3674717935
528	0.8435435099	0.3673137147
529	0.843207526	0.3672123808
530	0.8433195207	0.3671640679
531	0.8434315153	0.3670799845
532	0.8435435099	0.3670093989
533	0.8434315153	0.3669228508
534	0.8436555045	0.3666762416
535	0.8437674992	0.366601556
536	0.8442154777	0.3663339302
537	0.844103483	0.36624821
538	0.844103483	0.3661639495
539	0.844103483	0.3661200195
540	0.844103483	0.3660396426
541	0.8443274723	0.3659543162
542	0.8445514615	0.3658896806
543	0.8444394669	0.3658426833
